"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",2.82796066786643,2.75287,2.65043554669463,434.3,0.95,2.04063,3.78024,NA,NA,NA,NA,NA,NA,NA
"beta[1]",2.55470253464341,1.083315,0.587035963580979,255,0.95,-0.631557,11.0365,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-1.71412258317537,-1.720745,-1.68481343821516,3078.1,0.95,-3.0966,-0.401234,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-1.2969707990202,-1.2901,-1.32215100618728,2746.2,0.95,-1.95206,-0.643688,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.906650152020596,-0.96312,-0.96625209694711,1422.7,0.95,-2.07917,0.182827,NA,NA,NA,NA,NA,NA,NA
"beta[5]",7.13319809708058,6.09357,3.06905262271808,293.3,0.95,0.626511,16.6418,NA,NA,NA,NA,NA,NA,NA
"beta[6]",-11.8561519266147,-9.616975,-4.57712039726995,560.7,0.95,-28.217,-2.18076,NA,NA,NA,NA,NA,NA,NA
"beta[7]",-1.36767973885223,-1.30559,-1.21791992161283,581.4,0.95,-2.15461,-0.702024,NA,NA,NA,NA,NA,NA,NA
"beta[8]",-1.74767314247151,-1.723475,-1.70823090293874,946.1,0.95,-2.52906,-1.06802,NA,NA,NA,NA,NA,NA,NA
"beta[9]",0.20618481144925,0.1521365,0.0755850582420714,933.2,0.95,-0.563229,1.04227,NA,NA,NA,NA,NA,NA,NA
"zbeta0",2.03458125274945,1.986225,1.82805634327998,169.5,0.95,1.1784,3.04354,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.556113522372615,0.235819,0.127786403053105,255,0.95,-0.137479,2.40245,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.30112509365227,-0.302288,-0.295978108097014,3078.1,0.95,-0.543989,-0.0704859,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.293103169665067,-0.291551,-0.298793982980765,2746.2,0.95,-0.441147,-0.145467,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.144876591037602,-0.1539005,-0.1543991335488,1422.7,0.95,-0.332237,0.0292145,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",1.66173495179964,1.419545,0.71496138038824,293.3,0.95,0.145951,3.87685,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",-1.74327601829634,-1.41404,-0.672998370524001,560.7,0.95,-4.14891,-0.32065,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",-0.664287104279144,-0.6341305,-0.591548084199379,581.4,0.95,-1.0465,-0.340975,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",-0.412213374125175,-0.4065055,-0.402909322684919,946.1,0.95,-0.596515,-0.251908,NA,NA,NA,NA,NA,NA,NA
"zbeta[9]",0.0719512293338732,0.05309035,0.0263761569683871,933.2,0.95,-0.196547,0.363717,NA,NA,NA,NA,NA,NA,NA
"guess",0.223514417416517,0.2239105,0.221608519744499,530.1,0.95,0.132277,0.311911,NA,NA,NA,NA,NA,NA,NA
